cons_12m,cons_gas_12m,cons_last_month,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_off_peak,forecast_price_energy_peak,forecast_price_pow_off_peak,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,date_activ_day,date_activ_month,date_activ_year,date_end_day,date_end_month,date_end_year,date_modif_prod_day,date_modif_prod_month,date_modif_prod_year,date_renewal_day,date_renewal_month,date_renewal_year,churn
7950,0,1100,856.81,1100,0.0,132.16,0.1152369999999999,0.100123,40.9390266,113.82,20.0,20.0,1,94.01,6,15.01,1,10,2009,1,10,2016,1,10,2009,2,10,2015,0
1856956,41883,164355,3074.16,0,0.0,99.05,0.1152369999999999,0.100123,40.606701,0.0,43.44,43.44,2,487.42,5,29.0,20,9,2010,20,9,2016,20,9,2010,23,9,2015,0
324,0,0,8.32,0,0.0,1.08,0.14317,0.0,44.31137796,0.0,18.62,18.62,2,1.27,7,13.2,7,7,2009,7,7,2016,23,5,2015,9,7,2015,1
2103,0,0,355.17,0,30.0,19.6,0.198096,0.0,46.30537836,0.0,27.96,27.96,2,19.0,4,10.392,14,12,2011,6,8,2016,6,8,2015,5,1,2015,0
19593,0,0,2886.5,0,0.0,17.55,0.143166,0.0,44.31137796,0.0,17.45,17.45,1,243.99,4,13.856,3,7,2012,3,7,2016,31,10,2013,4,7,2015,0
41814,0,4159,4107.43,4159,0.0,129.97,0.1165089999999999,0.101397,40.606701,412.54,10.16,10.16,1,477.42,3,30.45,10,10,2012,10,10,2016,26,6,2014,11,10,2015,0
37969,0,3407,3879.98,3407,0.0,130.68,0.114604,0.098262,40.606701,330.3,44.64,44.64,1,407.98,11,33.0,28,3,2005,28,3,2016,9,3,2015,29,3,2015,0
41214,0,3538,4294.49,3538,0.0,146.56,0.1153599999999999,0.100243,40.606701,352.08,3.72,3.72,1,505.47,4,19.8,4,11,2011,4,11,2016,1,11,2015,5,11,2015,0
2012791,0,218619,547.35,346,0.0,16.12,0.144902,0.0,44.31137796,50.79,21.52,21.52,1,50.38,5,13.2,22,6,2011,22,6,2016,22,6,2011,23,6,2015,0
20429,0,0,869.54,0,0.0,120.45,0.120372,0.103487,40.606701,0.0,60.39,60.39,1,111.64,6,26.6,12,3,2010,12,3,2016,12,3,2010,13,3,2015,0
5957,0,794,510.87,315,0.0,18.47,0.1457109999999999,0.0,44.31137796,46.17,24.4,24.4,1,50.71,6,15.0,8,6,2010,8,6,2016,8,6,2010,23,6,2015,0
6047,0,0,913.0,0,0.0,19.54,0.147506,0.0,45.80687796,0.0,17.13,17.13,1,86.43,4,10.392,23,11,2011,23,11,2016,23,11,2011,24,11,2015,0
1938393,0,312684,3426.48,3537,0.0,51.6,0.143166,0.0,44.31137796,513.03,11.95,11.95,1,279.26,3,13.85,1,9,2012,1,9,2016,1,9,2012,2,9,2015,0
9141,0,1592,419.22,523,0.0,16.32,0.142881,0.0,46.30537836,74.39,29.5,29.5,1,30.9,4,13.856,1,3,2012,20,9,2016,20,9,2015,3,3,2014,0
4259,0,0,632.17,0,0.0,16.74,0.144902,0.0,44.31137796,0.0,14.64,14.64,1,64.34,4,10.392,25,6,2012,9,7,2016,9,7,2014,12,7,2015,0
12199,0,0,1811.9,0,0.0,21.1,0.145877,0.0,44.31137796,0.0,23.4,23.4,1,156.21,5,10.392,10,1,2011,29,2,2016,10,1,2011,9,3,2015,0
13859,0,0,8.83,0,0.0,18.26,0.146694,0.0,44.31137796,0.0,30.22,30.22,1,0.88,5,13.2,15,3,2011,15,3,2016,15,3,2011,16,3,2015,0
110534,0,7546,3485.92,2797,0.0,131.87,0.1169099999999999,0.100572,40.606701,272.68,32.1,32.1,1,416.74,4,26.61,4,4,2012,4,4,2016,4,4,2012,5,4,2015,0
79090,0,3319,2690.38,2191,0.0,130.47,0.114025,0.097683,40.606701,201.4,12.36,12.36,1,311.76,6,19.8,1,8,2009,1,8,2016,12,7,2015,2,8,2015,0
5162,0,0,0.0,0,0.0,0.0,0.0006,0.0,0.0,0.0,24.33,24.33,1,80.3,5,13.86,18,11,2010,18,11,2016,18,11,2010,21,11,2015,0
88178,0,6094,9070.33,6094,0.0,145.41,0.115744,0.098858,40.606701,611.08,32.88,32.88,1,719.37,6,33.0,15,1,2010,14,2,2016,14,9,2013,16,2,2015,1
22333,0,2237,2377.86,2237,0.0,143.04,0.1152369999999999,0.100123,40.606701,226.86,9.93,9.93,1,234.39,5,52.5,17,11,2010,17,11,2016,24,5,2015,18,11,2015,0
31653,0,124,82.03,124,0.0,129.6,0.120372,0.103487,40.606701,12.19,108.9,108.9,1,10.32,5,48.0,5,3,2011,5,3,2016,5,3,2011,6,3,2015,0
463646,0,40551,2858.82,0,0.0,117.54,0.1152369999999999,0.100123,40.606701,0.0,11.04,11.04,1,372.55,3,33.0,22,6,2013,9,10,2016,9,10,2013,11,10,2015,0
10602,0,951,1122.03,951,0.0,129.61,0.120372,0.103487,40.606701,98.66,36.22,36.22,1,137.56,4,20.0,13,3,2012,13,3,2016,13,3,2012,16,3,2015,0
21553,0,0,3213.49,0,0.0,16.09,0.144149,0.0,44.31137796,0.0,19.28,19.28,1,301.91,3,10.392,9,4,2013,9,4,2016,9,4,2013,12,4,2015,1
348859,0,53135,2767.31,2368,0.0,142.63,0.1165089999999999,0.101397,40.606701,218.34,4.46,4.46,1,364.43,5,100.0,20,12,2010,20,12,2016,20,12,2010,21,12,2015,0
7314,0,1542,1094.82,1542,0.0,18.32,0.1457109999999999,0.0,44.31137796,226.96,27.69,27.69,1,111.5,4,15.0,28,5,2012,28,5,2016,28,5,2012,29,5,2015,0
1129316,0,79977,1346.17,1174,0.0,129.24,0.1165089999999999,0.101397,40.606701,117.71,2.46,2.46,1,172.91,4,19.72,17,12,2011,17,12,2016,17,12,2011,20,12,2015,1
11399,0,1105,2158.81,1105,24.0,14.44,0.186188,0.0,45.80687796,206.39,37.56,37.56,1,864.94,5,12.5,26,5,2011,1,4,2016,1,4,2014,2,4,2015,0
162691,0,18860,7603.69,9069,0.0,130.68,0.115744,0.098858,40.606701,836.8,16.32,16.32,1,677.58,5,16.4,6,1,2011,6,1,2017,6,1,2011,7,1,2016,0
158223,188601,17754,5658.04,9471,0.0,129.26,0.114481,0.098142,40.606701,940.24,35.81,35.81,3,580.06,6,40.0,10,4,2010,10,4,2016,16,9,2013,12,4,2015,0
84410,186857,7891,3166.13,3007,0.0,132.13,0.1165089999999999,0.101397,40.606701,302.49,0.7999999999999989,0.7999999999999989,4,396.63,4,17.25,2,12,2011,2,12,2016,17,11,2014,3,12,2015,0
2887,0,0,436.45,0,0.0,14.91,0.146694,0.0,44.31137796,0.0,34.68,34.68,1,49.0,3,13.856,8,1,2013,8,1,2017,8,1,2013,10,1,2016,0
8647,0,829,399.54,389,0.0,129.6,0.1169,0.1000149999999999,40.606701,37.53,51.96,51.96,1,45.47,6,20.785,28,1,2010,28,1,2016,28,1,2010,30,1,2015,0
10,0,0,1.52,0,0.0,6.67,0.1457109999999999,0.0,44.31137796,0.0,21.52,21.52,1,0.16,5,13.2,9,6,2011,9,6,2016,9,6,2011,21,6,2015,0
5682,0,0,853.4,0,0.0,17.35,0.1458839999999999,0.0,44.31137796,0.0,23.76,23.76,1,82.52,5,10.392,8,3,2011,8,3,2016,8,3,2011,9,3,2015,0
1017579,187578,120936,100.27,125,0.0,146.81,0.115174,0.098837,40.606701,11.86,47.0,47.0,2,14.59,5,29.7,14,6,2011,14,6,2016,14,6,2011,23,6,2015,0
16605,227049,2000,1694.72,2000,0.0,132.19,0.1169,0.1000149999999999,40.606701,200.09,24.72,24.72,2,183.25,6,16.5,12,1,2010,9,2,2016,12,1,2010,11,2,2015,0
2502,0,0,375.75,0,0.0,19.51,0.1457109999999999,0.0,44.31137796,0.0,22.52,22.52,1,35.96,4,13.856,11,6,2012,11,6,2016,11,6,2012,14,6,2015,0
92718,0,7895,8796.43,7895,0.0,145.77,0.113323,0.096984,40.606701,735.06,14.94,14.94,2,848.79,6,55.0,9,9,2009,9,9,2016,9,9,2009,10,9,2015,0
597,0,0,74.51,0,0.0,13.64,0.16304,0.084395,46.30537836,0.0,20.54,20.54,1,20.73,6,10.392,1,12,2009,1,12,2016,1,11,2015,2,12,2015,0
64516,21201,3764,4766.96,3764,0.0,145.03,0.1186359999999999,0.10175,40.606701,376.57,22.44,22.44,2,530.16,3,15.001,22,3,2013,22,3,2016,25,6,2014,23,3,2015,1
67923,14693,4898,6714.09,4898,0.0,147.79,0.112852,0.095965,40.606701,469.1,19.92,19.92,2,571.66,3,20.0,14,9,2012,4,2,2016,4,2,2014,5,2,2015,0
6383,0,1116,958.79,1116,0.0,16.26,0.145541,0.0,44.31137796,163.87,34.68,34.68,1,101.81,6,13.856,21,1,2010,21,1,2017,16,11,2015,22,1,2016,0
7042,0,0,1058.3,0,0.0,19.49,0.147506,0.0,45.80687796,0.0,22.89,22.89,1,102.08,4,13.856,23,11,2011,23,11,2016,23,11,2011,24,11,2015,0
19704,45795,1466,1991.63,1466,0.0,128.19,0.1165089999999999,0.101397,40.606701,147.9,60.84,60.84,3,66.87,5,25.0,8,12,2010,8,12,2016,17,11,2014,9,12,2015,0
15803,0,0,461.63,0,0.0,16.48,0.1458839999999999,0.0,44.31137796,0.0,37.56,37.56,1,45.07,6,15.0,1,1,2010,1,1,2017,1,1,2010,2,1,2016,0
10930,0,3227,777.96,1578,0.0,16.68,0.165793,0.0885389999999999,44.31137796,217.04,14.57,14.57,1,59.82,7,10.35,14,7,2009,14,7,2016,14,7,2009,15,7,2015,0
15150,0,4700,1637.98,4700,0.0,10.37,0.1640579999999999,0.086163,44.31137796,494.42,29.76,29.76,1,134.5,3,14.49,16,3,2013,16,3,2016,16,3,2013,17,3,2015,0
3251,0,0,487.33,0,0.0,16.44,0.1457109999999999,0.0,44.31137796,0.0,10.08,10.08,1,47.33,5,10.392,15,9,2010,15,9,2016,15,9,2010,16,9,2015,0
4077,0,668,601.62,668,0.0,16.89,0.142822,0.0,44.31137796,96.52,15.5,15.5,1,59.37,6,11.0,9,7,2010,9,7,2016,23,5,2015,10,7,2015,0
16163,0,1474,1739.46,1474,0.0,0.0,0.115174,0.098837,40.606701,155.19,12.9,12.9,1,181.75,6,20.7,1,8,2009,1,8,2016,1,8,2009,2,8,2015,0
51558,0,0,3469.21,0,0.0,17.27,0.159815,0.081173,44.31137796,0.0,4.83,4.83,2,122.17,3,10.35,24,10,2012,18,11,2016,18,11,2015,25,10,2015,1
1750,0,64,176.01,64,0.0,127.81,0.120372,0.103487,40.606701,6.08,37.39,37.39,1,21.87,4,16.5,13,3,2012,13,3,2016,13,3,2012,16,3,2015,0
51774,0,4095,5282.47,4095,0.0,130.67,0.1186359999999999,0.10175,40.606701,406.53,23.66,23.66,1,544.49,4,26.4,10,3,2012,10,3,2016,10,3,2012,11,3,2015,0
38268,0,3598,2318.35,2495,0.0,167.76,0.114025,0.097683,40.606701,234.18,23.99,23.99,1,295.02,5,50.0,4,9,2010,4,9,2016,27,8,2015,5,9,2015,0
84527,0,5925,3787.85,3230,0.0,129.61,0.1157609999999999,0.099419,40.606701,325.09,25.44,25.44,1,428.99,4,21.04,4,4,2012,4,4,2016,15,4,2015,5,4,2015,1
8345,0,0,1210.54,0,0.0,16.55,0.142065,0.0,44.31137796,0.0,27.52,27.52,1,112.04,6,13.3,30,6,2010,10,6,2016,10,6,2014,23,6,2015,0
1540,43,21,19.59,19,0.0,132.11,0.1169099999999999,0.100572,40.606701,1.83,42.48,42.48,2,2.43,6,17.0,27,4,2010,27,4,2016,27,4,2010,28,4,2015,1
1644,0,0,312.66,0,28.0,13.8,0.182936,0.0,47.80087836,0.0,48.6,48.6,1,27.83,4,13.856,3,2,2012,27,2,2016,17,12,2015,9,3,2015,0
4527,0,0,676.72,0,0.0,16.16,0.14531,0.0,44.31137796,0.0,21.48,21.48,1,63.75,4,10.392,12,4,2012,12,4,2016,9,3,2015,13,4,2015,0
3875,0,0,577.24,0,0.0,18.47,0.144902,0.0,44.31137796,0.0,17.62,17.62,1,53.89,6,12.5,21,7,2010,21,7,2016,21,7,2010,22,7,2015,0
8011,0,911,800.29,911,0.0,132.53,0.1169,0.1000149999999999,40.606701,89.44,37.39,37.39,1,87.02,6,16.5,11,1,2010,9,3,2016,11,1,2010,10,3,2015,0
6569,0,1114,983.37,1114,0.0,16.78,0.14531,0.0,44.31137796,163.2,26.04,26.04,1,94.42,4,10.392,24,1,2012,24,1,2017,17,11,2015,25,1,2016,0
1175,0,177,177.21,177,0.0,19.34,0.146694,0.0,44.31137796,26.26,26.04,26.04,1,16.97,6,10.392,17,2,2010,17,2,2016,17,2,2010,18,2,2015,0
8369,0,936,1251.18,936,0.0,15.16,0.144152,0.0,44.31137796,136.14,34.68,34.68,1,121.33,5,13.84,1,1,2011,1,1,2017,18,11,2015,2,1,2016,0
15295,0,1807,1313.84,1381,0.0,130.31,0.120372,0.103487,40.606701,140.32,31.32,31.32,1,156.02,4,17.320999999999998,3,3,2012,3,3,2016,3,3,2012,6,3,2015,0
18262,0,1513,1310.31,1078,0.0,129.59,0.118646,0.102308,40.606701,110.9,32.48,32.48,1,159.02,4,20.0,18,4,2012,18,4,2016,16,9,2013,21,4,2015,0
7921,0,2037,1179.04,2037,0.0,0.0,0.144902,0.0,44.31137796,298.7,18.62,18.62,1,108.67,7,13.2,2,7,2009,2,7,2016,2,7,2009,4,7,2015,0
52988,24114,9573,4608.72,5512,0.0,18.37,0.143166,0.0,44.31137796,797.2,10.84,10.84,2,362.56,4,12.5,30,9,2011,30,9,2016,30,9,2011,1,10,2015,0
1616,0,0,218.71,0,0.0,13.87,0.165793,0.0885389999999999,44.31137796,0.0,10.03,10.03,1,21.2,6,10.35,29,9,2009,29,9,2016,29,9,2009,30,9,2015,0
916711,0,66423,1013.87,0,0.0,19.47,0.144902,0.0,44.31137796,0.0,19.2,19.2,1,107.14,6,10.392,1,5,2010,1,5,2016,1,5,2010,2,5,2015,0
2274,0,391,342.23,391,0.0,0.0,0.1457109999999999,0.0,44.31137796,57.66,30.98,30.98,1,35.18,3,15.0,29,4,2013,29,4,2016,29,4,2013,30,4,2015,0
5759,0,365,593.6,0,0.0,13.57,0.167093,0.088449,45.81137796,0.0,18.99,18.99,1,70.63,6,11.504,6,11,2009,6,11,2016,4,12,2015,9,11,2015,0
50538,0,4168,5445.84,4168,0.0,132.11,0.112922,0.09781,40.606701,422.0,18.96,18.96,1,447.52,6,19.0,24,2,2010,23,2,2016,12,11,2015,23,6,2015,0
2769,0,0,417.34,0,0.0,15.15,0.147506,0.0,45.80687796,0.0,18.12,18.12,1,52.79,4,10.4,18,6,2012,18,10,2016,4,12,2013,19,10,2015,0
2958,0,0,445.9,0,0.0,17.13,0.142881,0.0,46.30537836,0.0,28.02,28.02,1,26.77,6,13.856,10,11,2009,10,11,2016,18,9,2015,11,11,2015,0
1366,0,341,258.84,341,30.0,18.7,0.186188,0.0,45.80687796,63.83,46.32,46.32,1,17.49,4,13.2,7,2,2012,25,2,2016,17,12,2015,26,2,2015,0
5994,0,800,636.86,800,0.0,128.89,0.1152369999999999,0.100123,40.9390266,82.51,25.46,25.46,1,67.31,4,17.2,10,9,2011,14,9,2016,10,9,2011,15,9,2015,1
10,0,0,1.09,0,0.0,130.45,0.114603,0.098261,40.606701,0.0,35.59,35.59,1,0.11,6,26.3,2,7,2010,2,7,2016,20,6,2015,4,7,2015,0
2288838,0,237044,1263.69,0,0.0,0.0,0.1457109999999999,0.0,44.31137796,0.0,21.24,21.24,1,123.56,6,11.5,18,5,2010,18,5,2016,18,5,2010,20,5,2015,0
528,0,150,142.05,150,0.0,18.37,0.273963,0.0,59.26637796,41.27,197.28,197.28,1,65.99,3,13.15,21,1,2013,21,1,2017,21,1,2013,22,1,2016,1
4043,14289,357,416.31,357,0.0,143.41,0.1169099999999999,0.100572,40.606701,35.61,29.85,29.85,2,48.81,3,16.5,17,6,2013,17,6,2016,5,7,2013,23,6,2015,0
50243,28066,0,1429.06,0,0.0,19.61,0.146694,0.0,44.31137796,0.0,27.32,27.32,3,141.34,5,13.2,18,4,2011,18,4,2016,18,4,2011,19,4,2015,0
13561,277,2741,1997.35,2741,0.0,18.07,0.143166,0.0,44.31137796,397.57,11.7,11.7,2,152.17,3,11.0,17,8,2012,17,8,2016,17,8,2012,18,8,2015,0
1845,0,310,273.33,310,0.0,16.26,0.142881,0.0,46.30537836,44.81,28.02,28.02,1,21.61,6,13.856,11,11,2009,11,11,2016,19,9,2015,12,11,2015,0
13379,0,0,852.32,0,0.0,18.32,0.1457109999999999,0.0,44.31137796,0.0,17.62,17.62,1,86.03,4,12.5,30,7,2012,30,7,2016,30,10,2013,31,7,2015,0
2123,0,0,316.47,0,0.0,16.44,0.144902,0.0,44.31137796,0.0,12.82,12.82,1,29.17,6,13.2,17,9,2009,17,9,2016,17,9,2009,18,9,2015,0
1676,0,131,26.77,38,0.0,133.73,0.1153599999999999,0.100243,41.27136420000001,3.74,37.44,37.44,1,3.28,6,15.001,22,10,2009,25,10,2016,20,9,2015,27,10,2015,1
18725,0,0,413.38,0,0.0,14.62,0.147506,0.0,45.80687796,0.0,26.2,26.2,1,50.78,5,15.0,26,10,2010,25,10,2016,26,10,2010,28,10,2015,0
41588,0,5111,4353.28,5111,0.0,141.68,0.115939,0.100823,40.606701,520.17,5.76,5.76,1,527.27,3,17.320999999999998,3,10,2012,3,10,2016,18,9,2015,4,10,2015,0
23481,7913,0,2560.4,0,0.0,16.49,0.1640569999999999,0.0868029999999999,44.31137796,0.0,14.7,14.7,2,194.14,6,13.856,1,8,2009,1,8,2016,1,8,2009,2,8,2015,0
535973,147192,65016,1687.23,1651,0.0,16.11,0.1646369999999999,0.087381,44.31137796,180.55,17.22,17.22,2,165.61,6,10.392,13,5,2010,13,5,2016,13,5,2010,18,5,2015,0
76233,0,7612,3844.96,4676,0.0,16.27,0.143478,0.0,44.31137796,671.99,2.8,2.8,1,294.93,4,10.392,7,12,2011,7,12,2016,1,11,2015,8,12,2015,0
35055,0,6003,5154.28,6003,0.0,13.83,0.143166,0.0,44.31137796,869.45,21.81,21.81,1,454.73,4,13.15,28,5,2012,28,5,2016,23,4,2014,3,6,2015,0
9219,0,2740,841.26,2740,0.0,16.86,0.16464,0.087382,44.31137796,247.16,10.08,10.08,1,98.01,6,10.392,4,9,2009,4,9,2016,12,7,2015,5,9,2015,0
4394,0,0,557.05,0,0.0,40.69,0.164635,0.086741,44.31137796,0.0,27.32,27.32,3,49.33,5,13.2,8,4,2011,8,4,2016,8,4,2011,12,4,2015,0
1899670,0,218019,5249.29,0,0.0,44.53,0.1646369999999999,0.087381,44.31137796,0.0,16.66,16.66,1,453.85,6,13.2,1,7,2010,1,7,2016,1,7,2010,4,7,2015,0
8471,0,0,868.97,0,0.0,15.98,0.146348,0.0,45.30837756,0.0,15.12,15.12,1,84.58,6,13.2,7,12,2009,7,12,2016,17,10,2014,8,12,2015,0
39375,0,3197,1366.21,944,0.0,132.5,0.1128599999999999,0.095969,40.606701,92.4,40.8,40.8,1,141.86,6,20.4,22,1,2010,22,1,2017,16,12,2015,24,1,2016,0
1679,0,131,328.61,131,30.0,17.58,0.19923,0.0,45.80687796,26.37,43.8,43.8,2,18.55,6,12.5,3,11,2009,17,3,2016,17,3,2015,18,12,2014,0
170442,0,29580,737.23,74,0.0,9.65,0.1457109999999999,0.0,44.31137796,10.89,22.44,22.44,1,83.38,6,13.8,3,6,2010,3,6,2016,3,6,2010,21,6,2015,0
2374,0,0,356.98,0,0.0,16.0,0.146348,0.0,46.30537836,0.0,20.54,20.54,1,34.12,6,10.392,2,12,2009,2,12,2016,2,12,2009,3,12,2015,0
9818,0,1477,966.06,1477,0.0,131.79,0.115174,0.098837,40.606701,141.84,94.2,94.2,1,105.37,12,37.71,30,3,2004,30,3,2016,30,3,2004,31,3,2015,0
2206,0,62,274.3,62,0.0,14.05,0.161165,0.083909,44.31137796,7.51,26.04,26.04,1,30.35,4,10.392,20,1,2012,26,8,2016,26,8,2014,27,8,2015,1
3118110,468369,289924,3269.76,3690,0.0,39.77,0.1186359999999999,0.10175,40.606701,353.43,24.0,24.0,2,387.56,4,16.0,1,2,2012,1,2,2016,1,2,2012,9,2,2015,0
0,0,0,0.0,0,0.0,131.42,0.1169099999999999,0.100572,40.606701,0.0,31.26,31.26,1,0.0,5,17.25,5,5,2011,5,5,2016,5,5,2011,6,5,2015,0
2002,0,0,303.09,0,0.0,16.79,0.146694,0.0,44.31137796,0.0,21.38,21.38,1,31.06,6,10.35,6,4,2010,6,4,2016,6,4,2010,8,4,2015,0
4664,0,0,696.93,0,0.0,18.47,0.144038,0.0,45.81137796,0.0,19.52,19.52,1,57.34,6,12.5,29,12,2009,29,12,2016,1,11,2015,30,12,2015,0
14878,0,0,932.03,0,0.0,15.98,0.146348,0.0,45.80687796,0.0,18.12,18.12,1,88.02,6,10.392,14,10,2009,14,10,2016,14,10,2009,15,10,2015,0
35323,20175,4444,4651.56,4444,24.0,142.4,0.148299,0.125137,41.1052014,591.62,144.35,144.35,2,606.29,4,43.6,27,4,2012,23,3,2016,20,6,2014,25,3,2015,0
23654,0,0,2422.65,0,0.0,130.85,0.1169099999999999,0.100572,40.606701,0.0,23.4,23.4,1,322.93,3,22.0,16,5,2013,16,5,2016,15,4,2014,20,5,2015,0
1563319,0,17616,975.54,0,0.0,0.0,0.146694,0.0,44.31137796,0.0,27.32,27.32,2,103.34,6,13.2,7,4,2010,7,4,2016,7,4,2010,8,4,2015,0
1740024,0,222684,2705.19,4443,0.0,16.56,0.161454,0.084198,44.31137796,484.44,22.95,22.95,1,258.44,6,13.856,1,5,2010,1,5,2016,1,5,2010,2,5,2015,0
8570,0,0,1276.28,0,0.0,18.71,0.14398,0.0,44.31137796,0.0,16.92,16.92,1,114.66,6,10.392,10,6,2010,10,6,2016,29,4,2015,14,6,2015,0
